"id","rented_at","rental_station_id","returned_at","return_station_id","duration_min","distance_m","birth_year","gender","bike_type"
1,"2025-12-01 00:00:25",3569,"2025-12-01 00:04:59",3575,4,968.4,,,일반자전거
2,"2025-12-01 00:02:25",3569,"2025-12-01 00:07:54",505,5,824.12,2003,M,일반자전거
3,"2025-12-01 00:05:56",3569,"2025-12-01 00:13:42",3501,7,1288.67,2001,M,일반자전거
4,"2025-12-01 00:08:09",3523,"2025-12-01 00:16:27",563,8,1581.78,2003,M,일반자전거
5,"2025-12-01 00:17:30",505,"2025-12-01 00:22:54",3569,5,472.99,1959,M,일반자전거
6,"2025-12-01 00:21:33",3569,"2025-12-01 00:25:33",3900,4,730.38,2002,M,일반자전거
7,"2025-12-01 00:15:44",3569,"2025-12-01 00:27:38",5155,11,1660.71,1997,F,일반자전거
8,"2025-12-01 00:22:30",3569,"2025-12-01 00:29:21",505,6,909.76,1979,F,일반자전거
9,"2025-12-01 00:24:14",3569,"2025-12-01 00:30:40",3890,6,848.1,1997,M,일반자전거
10,"2025-12-01 00:42:35",3900,"2025-12-01 00:45:35",3569,3,637.31,1999,,일반자전거
11,"2025-12-01 00:42:42",505,"2025-12-01 00:47:36",3569,4,909.76,1979,F,일반자전거
12,"2025-12-01 00:47:59",3523,"2025-12-01 00:52:58",3860,4,700.79,2001,M,일반자전거
13,"2025-12-01 00:15:06",3569,"2025-12-01 00:54:48",1444,39,5821.62,2005,F,일반자전거
14,"2025-12-01 00:46:25",3569,"2025-12-01 00:55:32",3508,9,1042.48,,,일반자전거
15,"2025-12-01 01:07:48",548,"2025-12-01 01:14:50",3900,7,1312.87,1998,M,일반자전거
16,"2025-12-01 01:15:50",3860,"2025-12-01 01:21:07",3864,5,649.28,2003,M,일반자전거
17,"2025-12-01 01:08:53",3569,"2025-12-01 01:25:27",576,16,3123.8,1999,M,일반자전거
18,"2025-12-01 01:19:10",3523,"2025-12-01 01:27:23",3579,8,984.6,2001,M,일반자전거
19,"2025-12-01 01:12:41",577,"2025-12-01 01:30:48",3569,18,3318.7,1999,M,일반자전거
20,"2025-12-01 00:57:09",3569,"2025-12-01 01:36:34",1024,39,6087.79,2002,M,일반자전거
21,"2025-12-01 01:45:57",3523,"2025-12-01 01:48:19",591,2,0.0,,,일반자전거
22,"2025-12-01 01:38:02",592,"2025-12-01 02:00:41",591,22,2156.22,,M,일반자전거
23,"2025-12-01 01:16:37",3569,"2025-12-01 02:07:23",3657,50,7164.08,2001,,일반자전거
24,"2025-12-01 02:05:37",590,"2025-12-01 02:09:06",3523,3,573.86,2000,M,일반자전거
25,"2025-12-01 02:12:43",3569,"2025-12-01 02:17:28",3501,4,931.11,2002,M,일반자전거
26,"2025-12-01 02:11:02",3569,"2025-12-01 02:27:47",577,16,3629.35,2001,M,일반자전거
27,"2025-12-01 02:12:27",3569,"2025-12-01 02:30:50",3501,18,1300.0,1998,,일반자전거
28,"2025-12-01 02:37:17",500,"2025-12-01 02:37:54",3860,0,240.0,,,새싹자전거
29,"2025-12-01 02:19:11",4373,"2025-12-01 02:41:21",3860,22,3357.64,,,일반자전거
30,"2025-12-01 02:41:35",3860,"2025-12-01 03:01:19",573,19,176.33,,,일반자전거
31,"2025-12-01 02:58:06",3536,"2025-12-01 03:08:15",3569,10,1378.76,,,일반자전거
32,"2025-12-01 03:09:45",3890,"2025-12-01 03:17:02",3569,7,1148.96,1997,F,일반자전거
33,"2025-12-01 03:14:49",590,"2025-12-01 03:19:54",500,5,842.76,,,일반자전거
34,"2025-12-01 03:14:22",590,"2025-12-01 03:19:54",500,5,953.95,,,일반자전거
35,"2025-12-01 03:12:13",3570,"2025-12-01 03:21:38",3569,9,1014.74,,,일반자전거
36,"2025-12-01 03:05:22",1295,"2025-12-01 03:26:19",3569,20,3850.0,2003,,일반자전거
37,"2025-12-01 03:21:18",3523,"2025-12-01 03:34:02",3582,12,1680.0,2003,F,일반자전거
38,"2025-12-01 03:44:12",3569,"2025-12-01 03:53:04",3536,8,1410.0,,,일반자전거
39,"2025-12-01 03:57:13",3569,"2025-12-01 04:10:00",551,12,2094.71,2006,M,일반자전거
40,"2025-12-01 04:09:25",3569,"2025-12-01 04:15:39",505,6,968.4,1979,F,일반자전거
41,"2025-12-01 04:38:35",584,"2025-12-01 04:45:21",592,6,687.87,2000,M,일반자전거
42,"2025-12-01 04:56:36",3860,"2025-12-01 05:01:51",592,5,598.14,2003,M,일반자전거
43,"2025-12-01 05:12:54",3501,"2025-12-01 05:20:12",3569,7,1302.96,,,일반자전거
44,"2025-12-01 04:57:06",3569,"2025-12-01 05:25:52",4886,28,6040.89,1995,,일반자전거
45,"2025-12-01 06:05:36",3501,"2025-12-01 06:11:09",3569,5,969.88,1971,F,일반자전거
46,"2025-12-01 06:03:33",3860,"2025-12-01 06:12:55",508,9,1730.62,1999,F,일반자전거
47,"2025-12-01 06:02:19",3569,"2025-12-01 06:23:18",2647,20,4376.13,1996,M,일반자전거
48,"2025-12-01 06:19:48",3501,"2025-12-01 06:25:19",3569,5,931.11,1994,,일반자전거
49,"2025-12-01 06:26:21",3569,"2025-12-01 06:31:26",3900,5,620.68,1970,M,일반자전거
50,"2025-12-01 06:44:46",505,"2025-12-01 06:48:38",3569,3,1046.86,1969,,일반자전거
51,"2025-12-01 06:49:35",3504,"2025-12-01 06:52:48",3569,3,472.99,1977,M,일반자전거
52,"2025-12-01 06:50:55",3504,"2025-12-01 06:53:18",3569,2,208.47,,,일반자전거
53,"2025-12-01 06:52:44",3569,"2025-12-01 06:57:08",592,4,591.91,,,일반자전거
