id,name,capacity
00102, 망원역 1번출구 앞,15
00103, 망원역 2번출구 앞,14
00104, 합정역 1번출구 앞,13
00105, 합정역 5번출구 앞,5
00106, 합정역 7번출구 앞,12
00107, 신한은행 서교동지점,5
00108, 서교동 사거리,10
00111, 상수역 2번출구 앞,10
00113, 홍대입구역 2번출구 앞,25
00114, 홍대입구역 8번출구 앞,15
00115, 마스타 빌딩 앞,15
00117, 홍은사거리,23
00118, 광흥창역 2번출구 앞,9
00119, 서강나루 공원,10
00120, 신수동 사거리,5
00121, 마포소방서 앞,15
00122, 신성기사식당 앞,10
00123, 문화촌 공원,20
00124, 서강대 정문 건너편,35
00126, 서강대 후문 옆,20
00127, 현대벤처빌 앞,9
00128, 신촌역(2호선) 1번출구 옆,20
00129, 신촌역(2호선) 6번출구 옆,10
00130, 신촌역(2호선) 7번출구 앞,10
00131, 증산2교,20
00133, 해담는다리,15
00134, 연세로 명물길,8
00135, 명물길 원형무대 앞,10
00137, 신촌기차역입구 교차로,10
00138, 신촌동 제1공영주차장 앞,10
00139, 연세대 정문 건너편,10
00140, 이화여대 후문,22
00141, 연대 대운동장 옆,10
00142, 아현역 4번출구 앞,11
00143, 공덕역 2번출구,9
00145, 공덕역 5번출구,9
00146, 마포역 2번출구 뒤,12
00147, 마포역 4번출구 뒤,7
00148, 용강동 주민센터 앞,11
00150, 서강대역 2번출구 앞,15
00153, 성산2교 사거리,10
00154, 마포구청역,13
00155, 가좌역1 번출구 앞,15
00156, 서울서부지방법원 앞,10
00157, 애오개역 4번출구 앞,12
00159, 이대역 4번 출구,5
00160,북아현동 가구거리,13
00161, 무악재역1번 출구,8
00162, 봉원고가차도 밑,15
00163, 명지전문대학교 정문 앞,6
00164, 북가좌1동 주민센터,10
00165, 중앙근린공원,20
00166, 가재울 초등학교,20
00167, 연가초등학교 옆,15
00169, 북가좌 삼거리,10
00170, DMC파크뷰자이아파트 302동 앞,10
00171, 임광빌딩 앞,10
00173, 서대문역 8번출구 앞,8
00175, 홍연2교옆,20
00176, 명지대학교 도서관,10
00177, 북가좌 초등학교,8
00178, 증산3교 앞,10
00179, 가좌역 4번출구 앞,14
00180, 충정로역 7번출구 아래,10
00181, 망원초록길 입구,15
00182, 망원2빗물펌프장 앞,9
00183, 하늘채코오롱아파트 건너편,15
00184, 7번가피자 서교망원점,9
00185, 마포 신수공원 앞,15
00186, 월드컵공원,40
00188, 홍은동 정원여중 입구,9
00191, 서우빌딩,10
00192, 연서어린이공원,10
00194, 증산교 앞,10
00195, 모래내고가차도,10
00196, 연희교차로 인근,10
00198, 충정2교,15
00199, 서울 월드컵 경기장,30
00200, 국회의원회관,18
00201, 진미파라곤 앞,15
00202, 국민일보 앞,30
